matchid,me,you,won,yourDead,myDead
battle-randombattle-2,larandumb,ryujinbot,true,6,5
battle-randombattle-2,ryujinbot,larandumb,false,5,6
battle-randombattle-12,ryujinbot,ryujin321561,true,1,0
battle-randombattle-24,ryujinbot,larandumb,true,6,4
battle-randombattle-24,larandumb,ryujinbot,false,4,6
battle-randombattle-26,larandumb,ryujinbot,true,6,2
battle-randombattle-26,ryujinbot,larandumb,false,2,6
battle-randombattle-27,ryujinbot,larandumb,true,6,5
battle-randombattle-27,larandumb,ryujinbot,false,5,6
battle-randombattle-28,larandumb,ryujinbot,false,3,6
battle-randombattle-28,ryujinbot,larandumb,true,6,3
battle-randombattle-30,larandumb,ryujinbot,true,6,1
battle-randombattle-30,ryujinbot,larandumb,false,1,6
battle-randombattle-34,larandumb,ryujinbot,false,5,6
battle-randombattle-34,ryujinbot,larandumb,true,6,5
battle-randombattle-38,larandumb,ryujinbot,false,4,6
battle-randombattle-38,ryujinbot,larandumb,true,6,4
battle-randombattle-42,larandumb,ryujinbot,true,6,5
battle-randombattle-42,ryujinbot,larandumb,false,5,6
battle-randombattle-43,larandumb,ryujinbot,true,6,4
battle-randombattle-43,ryujinbot,larandumb,false,4,6
battle-randombattle-44,larandumb,ryujinbot,true,6,5
battle-randombattle-44,ryujinbot,larandumb,false,5,6
battle-randombattle-45,larandumb,ryujinbot,false,3,6
battle-randombattle-45,ryujinbot,larandumb,true,6,3
battle-randombattle-46,larandumb,ryujinbot,true,6,0
battle-randombattle-46,ryujinbot,larandumb,false,0,6
battle-randombattle-47,larandumb,ryujinbot,true,6,4
battle-randombattle-47,ryujinbot,larandumb,false,4,6
battle-randombattle-50,larandumb,ryujinbot,true,6,1
battle-randombattle-50,ryujinbot,larandumb,false,1,6
battle-randombattle-53,larandumb,ryujinbot,false,2,6
battle-randombattle-53,ryujinbot,larandumb,true,6,2
battle-randombattle-54,larandumb,ryujinbot,false,4,6
battle-randombattle-54,ryujinbot,larandumb,true,6,4
battle-randombattle-55,larandumb,ryujinbot,false,4,6
battle-randombattle-55,ryujinbot,larandumb,true,6,4
battle-randombattle-56,ryujinbot,kyd21,true,1,0
battle-randombattle-57,ryujinbot,kyd21,true,1,0
battle-randombattle-67,larandumb,ryujinbot,false,4,6
battle-randombattle-67,ryujinbot,larandumb,true,6,4
battle-randombattle-68,larandumb,ryujinbot,false,3,6
battle-randombattle-68,ryujinbot,larandumb,true,6,3
battle-randombattle-69,larandumb,ryujinbot,true,6,3
battle-randombattle-69,ryujinbot,larandumb,false,3,6
battle-randombattle-70,larandumb,ryujinbot,false,4,6
battle-randombattle-70,ryujinbot,larandumb,true,6,4
battle-randombattle-98,ryujinbot,kyd12,true,0,2
battle-randombattle-99,ryujinbot,kyd12,true,0,0
battle-randombattle-100,ryujinbot,kyd12,true,1,1
battle-randombattle-102,ryujinbot,kyd12,true,5,2
battle-randombattle-103,ryujinbot,kyd12,true,3,0
battle-randombattle-104,ryujinbot,kyd12,true,1,1
battle-randombattle-107,ryujinbot,kyd12131,true,0,0
battle-randombattle-108,ryujinbot,kyd12131,true,0,0
battle-randombattle-109,ryujinbot,kyd12131,true,1,1
battle-randombattle-112,ryujinbot,kyd12131,true,0,0
battle-randombattle-113,ryujinbot,kyd12131,true,0,0
battle-randombattle-115,ryujinbot,kyd12131,true,1,0
