matchid,me,you,won,yourDead,myDead
battle-randombattle-64,larandumb,mallis,false,5,6
matchid,me,you,won,yourDead,myDead
battle-randombattle-64,mallis,larandumb,true,6,5
battle-randombattle-65,larandumb,mallis,false,4,6
battle-randombattle-65,mallis,larandumb,true,6,4
battle-randombattle-66,larandumb,mallis,false,3,6
battle-randombattle-66,mallis,larandumb,true,6,3
battle-randombattle-67,larandumb,mallis,false,3,6
battle-randombattle-67,mallis,larandumb,true,6,3
battle-randombattle-68,larandumb,mallis,true,6,3
battle-randombattle-68,mallis,larandumb,false,3,6
battle-randombattle-69,larandumb,mallis,true,6,4
battle-randombattle-69,mallis,larandumb,false,4,6
battle-randombattle-70,larandumb,mallis,true,6,1
battle-randombattle-70,mallis,larandumb,false,1,6
battle-randombattle-71,larandumb,mallis,true,6,5
battle-randombattle-71,mallis,larandumb,false,5,6
battle-randombattle-72,larandumb,mallis,false,4,6
battle-randombattle-72,mallis,larandumb,true,6,4
battle-randombattle-74,larandumb,mallis,false,6,6
battle-randombattle-74,mallis,larandumb,true,6,6
battle-randombattle-75,larandumb,mallis,false,3,6
battle-randombattle-75,mallis,larandumb,true,6,3
battle-randombattle-76,larandumb,mallis,false,5,6
battle-randombattle-76,mallis,larandumb,true,6,5
battle-randombattle-77,larandumb,mallis,false,5,6
battle-randombattle-77,mallis,larandumb,true,6,5
battle-randombattle-78,larandumb,mallis,false,4,6
battle-randombattle-78,mallis,larandumb,true,6,4
battle-randombattle-79,larandumb,mallis,false,3,6
battle-randombattle-79,mallis,larandumb,true,6,3
battle-randombattle-80,larandumb,mallis,true,6,4
battle-randombattle-80,mallis,larandumb,false,4,6
battle-randombattle-81,larandumb,mallis,false,5,6
battle-randombattle-81,mallis,larandumb,true,6,5
battle-randombattle-82,larandumb,mallis,false,3,6
battle-randombattle-82,mallis,larandumb,true,6,3
battle-randombattle-83,larandumb,mallis,true,6,3
battle-randombattle-83,mallis,larandumb,false,3,6
battle-randombattle-84,larandumb,mallis,false,1,6
battle-randombattle-84,mallis,larandumb,true,6,1
battle-randombattle-85,larandumb,mallis,false,5,6
battle-randombattle-85,mallis,larandumb,true,6,5
battle-randombattle-86,larandumb,mallis,true,6,3
battle-randombattle-86,mallis,larandumb,false,3,6
battle-randombattle-87,larandumb,mallis,false,5,6
battle-randombattle-87,mallis,larandumb,true,6,5
battle-randombattle-88,larandumb,mallis,false,4,6
battle-randombattle-88,mallis,larandumb,true,6,4
battle-randombattle-89,larandumb,mallis,false,3,6
battle-randombattle-89,mallis,larandumb,true,6,3
battle-randombattle-90,larandumb,mallis,false,2,6
battle-randombattle-90,mallis,larandumb,true,6,2
battle-randombattle-91,larandumb,mallis,false,3,6
battle-randombattle-91,mallis,larandumb,true,6,3
battle-randombattle-100,larandumb,mallis,false,2,6
battle-randombattle-100,mallis,larandumb,true,6,2
battle-randombattle-101,larandumb,mallis,false,4,6
battle-randombattle-101,mallis,larandumb,true,6,4
battle-randombattle-102,larandumb,mallis,true,6,4
battle-randombattle-102,mallis,larandumb,false,4,6
battle-randombattle-103,larandumb,mallis,true,6,5
battle-randombattle-103,mallis,larandumb,false,5,6
battle-randombattle-105,larandumb,mallis,false,4,6
battle-randombattle-105,mallis,larandumb,true,6,4
battle-randombattle-106,larandumb,mallis,false,5,6
battle-randombattle-106,mallis,larandumb,true,6,5
battle-randombattle-107,larandumb,mallis,false,2,6
battle-randombattle-107,mallis,larandumb,true,6,2
battle-randombattle-108,stabbymarten,mallis,false,1,6
battle-randombattle-108,mallis,stabbymarten,true,6,1
battle-randombattle-109,stabbymarten,mallis,true,6,5
battle-randombattle-109,mallis,stabbymarten,false,5,6
battle-randombattle-110,stabbymarten,mallis,true,6,5
battle-randombattle-110,mallis,stabbymarten,false,5,6
battle-randombattle-111,elitefourdiantha,mallis,false,4,6
battle-randombattle-111,mallis,elitefourdiantha,true,6,4
battle-randombattle-112,elitefourdiantha,mallis,false,2,6
battle-randombattle-112,mallis,elitefourdiantha,true,6,2
battle-randombattle-113,elitefourdiantha,mallis,true,6,5
battle-randombattle-113,mallis,elitefourdiantha,false,5,6
battle-randombattle-114,elitefourphoebex,mallis,true,6,3
battle-randombattle-114,mallis,elitefourphoebex,false,3,6
battle-randombattle-115,elitefourphoebex,mallis,false,3,6
battle-randombattle-115,mallis,elitefourphoebex,true,6,3
battle-randombattle-116,elitefourphoebex,mallis,false,4,6
battle-randombattle-116,mallis,elitefourphoebex,true,6,4
battle-randombattle-122,elitefourmalvax,mallis,true,6,4
battle-randombattle-122,mallis,elitefourmalvax,false,4,6
battle-randombattle-123,elitefourmalvax,mallis,true,6,2
battle-randombattle-123,mallis,elitefourmalvax,false,2,6
battle-randombattle-124,elitefourmalvax,mallis,false,4,6
battle-randombattle-124,mallis,elitefourmalvax,true,6,4
battle-randombattle-125,larandumb,mallis,false,3,6
battle-randombattle-125,mallis,larandumb,true,6,3
battle-randombattle-126,larandumb,mallis,false,5,6
battle-randombattle-126,mallis,larandumb,true,6,5
battle-randombattle-127,larandumb,mallis,false,5,6
battle-randombattle-127,mallis,larandumb,true,6,5
battle-randombattle-128,larandumb,mallis,false,3,6
battle-randombattle-128,mallis,larandumb,true,6,3
battle-randombattle-129,larandumb,mallis,false,3,6
battle-randombattle-129,mallis,larandumb,true,6,3
battle-randombattle-130,larandumb,mallis,false,3,6
battle-randombattle-130,mallis,larandumb,true,6,3
battle-randombattle-131,larandumb,mallis,false,4,6
battle-randombattle-131,mallis,larandumb,true,6,4
battle-randombattle-132,larandumb,mallis,false,1,6
battle-randombattle-132,mallis,larandumb,true,6,1
battle-randombattle-133,larandumb,mallis,false,4,6
battle-randombattle-133,mallis,larandumb,true,6,4
battle-randombattle-134,mallis,larandumb,false,5,6
battle-randombattle-134,larandumb,mallis,true,6,5
battle-randombattle-135,larandumb,mallis,false,3,6
battle-randombattle-135,mallis,larandumb,true,6,3
battle-randombattle-136,larandumb,mallis,false,2,6
battle-randombattle-136,mallis,larandumb,true,6,2
battle-randombattle-137,larandumb,mallis,false,2,6
battle-randombattle-137,mallis,larandumb,true,6,2
battle-randombattle-138,larandumb,mallis,false,3,6
battle-randombattle-138,mallis,larandumb,true,6,3
battle-randombattle-139,larandumb,mallis,false,2,6
battle-randombattle-139,mallis,larandumb,true,6,2
battle-randombattle-140,larandumb,mallis,false,3,6
battle-randombattle-140,mallis,larandumb,true,6,3
battle-randombattle-141,larandumb,mallis,false,3,6
battle-randombattle-141,mallis,larandumb,true,6,3
battle-randombattle-142,larandumb,mallis,false,5,6
battle-randombattle-142,mallis,larandumb,true,6,5
battle-randombattle-143,larandumb,mallis,false,3,6
battle-randombattle-143,mallis,larandumb,true,6,3
battle-randombattle-144,larandumb,mallis,false,5,6
battle-randombattle-144,mallis,larandumb,true,6,5
battle-randombattle-145,larandumb,mallis,false,5,6
battle-randombattle-145,mallis,larandumb,true,6,5
battle-randombattle-146,larandumb,mallis,false,4,6
battle-randombattle-146,mallis,larandumb,true,6,4
battle-randombattle-147,larandumb,mallis,false,2,6
battle-randombattle-147,mallis,larandumb,true,6,2
battle-randombattle-148,larandumb,mallis,false,1,6
battle-randombattle-148,mallis,larandumb,true,6,1
battle-randombattle-149,larandumb,mallis,false,3,6
battle-randombattle-149,mallis,larandumb,true,6,3
battle-randombattle-150,larandumb,mallis,false,5,6
battle-randombattle-150,mallis,larandumb,true,6,5
battle-randombattle-151,larandumb,mallis,false,2,6
battle-randombattle-151,mallis,larandumb,true,6,2
battle-randombattle-152,larandumb,mallis,false,1,6
battle-randombattle-152,mallis,larandumb,true,6,1
battle-randombattle-153,larandumb,mallis,false,2,6
battle-randombattle-153,mallis,larandumb,true,6,2
battle-randombattle-154,larandumb,mallis,false,3,6
battle-randombattle-154,mallis,larandumb,true,6,3
battle-randombattle-155,stabbymarten,mallis,true,6,2
battle-randombattle-155,mallis,stabbymarten,false,2,6
battle-randombattle-156,stabbymarten,mallis,true,6,4
battle-randombattle-156,mallis,stabbymarten,false,4,6
battle-randombattle-157,stabbymarten,mallis,false,4,6
